trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
55,53.896446228027344,1,2025-07-14 09:51:22.701116,2025-07-14 09:51:22.730971,0.029855,175.76527468127796,15.59234863671426,198.75360551630285,0.3083441911848373,1629.617634394576,198.05725968395296,0.14290174464473848,0.19717381908534484
56,53.0732536315918,1,2025-07-14 09:51:22.730971,2025-07-14 09:51:22.761168,0.030197,177.84328259199373,18.90641282342154,190.56894923021258,0.31860091823428094,1616.6853475528167,193.0670215467596,0.11998496560232386,0.24807755932837472
57,53.89583969116211,1,2025-07-14 09:51:22.761671,2025-07-14 09:51:22.790949,0.029278,189.53907133690566,16.983799419436917,243.4154526776849,0.344458177895363,1635.2923426431425,200.42761070965267,0.10345931547933998,0.23576825030466003
58,54.377601623535156,1,2025-07-14 09:51:22.791950,2025-07-14 09:51:22.820131,0.028181,171.31950863650016,5.0119196414173235,234.8772631429327,0.30814044407120844,1643.7800976024935,195.50457424652964,0.0725634200544019,0.27066267739284616
59,54.05068588256836,1,2025-07-14 09:51:22.821634,2025-07-14 09:51:22.850779,0.029145,176.277468677964,15.058855724791647,209.64339783508248,0.32558784652277756,1601.7062959664665,212.56651481939247,0.16461552606204588,0.20666602702256467
60,52.32231903076172,1,2025-07-14 09:51:22.850779,2025-07-14 09:51:22.881084,0.030305,174.27497344872194,7.101319094962166,202.7735427907634,0.4755014583631739,1647.4497589669243,189.7900881344781,0.18856907447533708,0.32401265731219026
61,54.6076545715332,1,2025-07-14 09:51:22.881084,2025-07-14 09:51:22.911259,0.030175,173.50884346082822,16.4084177657186,216.88118397385347,0.316246946084272,1658.4829754826153,204.56822380496723,0.12887746649712598,0.2572216804272173
62,53.735687255859375,1,2025-07-14 09:51:22.911763,2025-07-14 09:51:22.940470,0.028707,173.29146828478002,16.071074790175302,221.39466571453153,0.33608450183031807,1675.4277094550268,201.51925820935224,0.12654735356019076,0.29268235813359306
63,52.34306716918945,1,2025-07-14 09:51:22.941470,2025-07-14 09:51:22.971702,0.030232,178.60885021805845,16.681256519840257,215.69660694557675,0.30715380893714045,1688.2327757448334,218.4968492894535,0.17857843222103423,0.2560461876080899
64,54.933589935302734,1,2025-07-14 09:51:22.971702,2025-07-14 09:51:23.002358,0.030656,170.01827956211184,17.845529360705704,230.33760891232725,0.3284748374328083,1641.195870334615,196.34577783397933,0.1565730844789783,0.229270099257573
65,53.92149353027344,1,2025-07-14 09:51:23.002358,2025-07-14 09:51:23.032685,0.030327,180.36063522132764,17.83225567314455,230.43390366587673,0.35038822672849085,1641.2990740851178,196.36625614956387,0.15610769375487424,0.23292428307410362
66,53.961036682128906,1,2025-07-14 09:51:23.033187,2025-07-14 09:51:23.062787,0.0296,165.94268762013897,19.127681831308117,227.60694737314708,0.32887075474990557,1632.5339224961822,191.66449895782586,0.13810264871998626,0.18765826119702259
67,53.85625076293945,1,2025-07-14 09:51:23.063293,2025-07-14 09:51:23.092010,0.028717,168.68671227261416,19.711920184090154,238.29900609549668,0.31770616329511403,1621.2455377929773,187.5526815086123,0.1705833044038492,0.22802946998370988
68,54.366981506347656,1,2025-07-14 09:51:23.093514,2025-07-14 09:51:23.121718,0.028204,176.8458256283738,17.14077131142598,224.8848905451505,0.33848344172655725,1657.0077290802114,200.0552339039592,0.10672977227327998,0.2734507196789387
69,53.90866470336914,1,2025-07-14 09:51:23.123245,2025-07-14 09:51:23.152359,0.029114,175.13157777180473,6.052383982965801,220.5423636986569,0.3239362113354509,1612.6560433923948,197.1386772880141,0.15622117854900344,0.24512258439374002
70,55.14059066772461,1,2025-07-14 09:51:23.152359,2025-07-14 09:51:23.183705,0.031346,171.46473790843257,18.056240661477908,231.95032613314856,0.34094355265064286,1647.9501905173886,198.5196316009694,0.12121996541640019,0.209264522265152
71,55.14605712890625,1,2025-07-14 09:51:23.183705,2025-07-14 09:51:23.214967,0.031262,170.68166529115774,17.764505607225505,232.25213654788243,0.3406810608545452,1645.9118694711372,199.2854627927674,0.08604360603766431,0.25675373452895084
72,55.04207229614258,1,2025-07-14 09:51:23.214967,2025-07-14 09:51:23.246229,0.031262,170.28732280399618,17.625469597175346,232.70646691584759,0.35418344280845515,1649.3820716301673,198.9583194380225,0.08462224484862582,0.25399702349951897
73,54.23093032836914,1,2025-07-14 09:51:23.247230,2025-07-14 09:51:23.276928,0.029698,168.0264084173815,18.008042711402933,232.31346982842462,0.3537902410686945,1646.1597103964111,194.64362774313886,0.07757549614416591,0.207249222866846
74,54.96806716918945,1,2025-07-14 09:51:23.276928,2025-07-14 09:51:23.306582,0.029654,170.08043531923784,17.52828774388815,233.52183660053285,0.3405255113074162,1626.2862350496134,199.21907190052488,0.054530960995310074,0.24154319426844909
75,54.611663818359375,1,2025-07-14 09:51:23.307588,2025-07-14 09:51:23.337275,0.029687,171.93532199263555,17.489296750420984,235.59229079911708,0.3427356765690621,1624.0489185633644,198.95349399434284,0.06071800947969361,0.2528591285349595
76,54.87586212158203,1,2025-07-14 09:51:23.337275,2025-07-14 09:51:23.366476,0.029201,169.9862136525699,18.28629821769749,233.2359157676557,0.3498716777147072,1607.0815081885107,195.98221383367766,0.0859316314779433,0.24089751250586003
77,54.06510925292969,1,2025-07-14 09:51:23.367476,2025-07-14 09:51:23.397237,0.029761,164.2517732414637,19.9687713790412,239.64371685794487,0.3469446057734249,1604.1705447282402,196.00853070560328,0.05285188508827333,0.22425861742519526
78,54.066009521484375,1,2025-07-14 09:51:23.397237,2025-07-14 09:51:23.426940,0.029703,167.19996251798756,18.837488427652545,233.1444579914172,0.35992516365303523,1608.1056776385858,199.05845961614693,0.08434290850065362,0.24163760179151178
79,54.824405670166016,1,2025-07-14 09:51:23.426940,2025-07-14 09:51:23.457049,0.030109,169.90375194596527,18.280888445189014,229.7435672152357,0.37077244831672795,1616.7506949568265,194.133087040085,0.0854259729876092,0.21242390002187606
80,53.790218353271484,1,2025-07-14 09:51:23.457049,2025-07-14 09:51:23.487843,0.030794,161.8008467948258,18.411245804414364,229.80709743993998,0.3792153593424187,1617.0872252506908,194.13135859918387,0.0650938539609443,0.18510826758447965
